time,actual_roll,actual_pitch,actual_yaw,estimated_roll,estimated_pitch,estimated_yaw,reference_roll,reference_pitch,reference_yawrate,m1,m2,m3,m4,l1,l2,l3,l4
5.146000,0.036897,12.035247,-0.000099,0.633326,10.409667,0.005941,0.000000,8.000000,0.000000,45.360494,43.288319,44.646372,46.703288,29727.000000,28369.000000,29259.000000,30607.000000
5.196000,-0.190918,11.941133,-0.000036,-0.832116,7.077880,-0.001844,0.000000,7.000000,0.000000,47.585260,43.685054,42.413977,46.315709,31185.000000,28629.000000,27796.000000,30353.000000
5.246000,-0.160549,11.547107,-0.000040,0.441982,8.423969,-0.001723,0.000000,7.000000,0.000000,43.720150,42.233921,46.276036,47.768368,28652.000000,27678.000000,30327.000000,31305.000000
5.296000,0.219107,11.462912,0.000096,-1.287164,5.467552,-0.000632,0.000000,6.000000,0.000000,51.189441,43.427176,38.809796,46.573587,33547.000000,28460.000000,25434.000000,30522.000000
5.346000,0.270338,10.905363,0.000099,2.604557,8.157852,-0.004234,0.000000,6.000000,0.000000,51.583124,41.147478,38.410010,48.859388,33805.000000,26966.000000,25172.000000,32020.000000
5.396000,0.064916,10.057185,-0.000023,-0.226965,6.875942,0.000749,0.000000,5.000000,0.000000,42.236973,43.851377,47.762264,46.147860,27680.000000,28738.000000,31301.000000,30243.000000
5.446000,0.365064,9.331376,0.000156,-0.732850,5.490658,0.002087,0.000000,5.000000,0.000000,48.371099,42.560464,41.632715,47.435721,31700.000000,27892.000000,27284.000000,31087.000000
5.495000,0.234868,8.849061,0.000131,2.258733,6.935418,-0.001588,0.000000,4.000000,0.000000,51.616693,40.286870,38.379492,49.715419,33827.000000,26402.000000,25152.000000,32581.000000
5.545000,0.322131,8.027629,0.000226,-1.782558,4.402165,-0.000848,0.000000,4.000000,0.000000,50.400549,42.833600,39.598688,47.167163,33030.000000,28071.000000,25951.000000,30911.000000
5.596000,0.217119,7.450974,0.000130,-0.101415,5.773906,-0.000257,0.000000,3.000000,0.000000,47.809567,37.566186,42.191196,52.434577,31332.000000,24619.000000,27650.000000,34363.000000
5.645000,0.268239,6.629447,0.000290,-1.188546,3.849627,-0.000322,0.000000,3.000000,0.000000,48.390936,45.923552,41.608301,44.078737,31713.000000,30096.000000,27268.000000,28887.000000
5.695000,0.202322,5.935562,0.000309,-1.162477,3.514928,-0.001773,0.000000,2.000000,0.000000,42.423133,42.645914,47.576104,47.354849,27802.000000,27948.000000,31179.000000,31034.000000
5.745000,0.090847,5.220113,0.000278,1.291432,6.400386,-0.002554,0.000000,2.000000,0.000000,45.316243,45.870146,44.678416,44.135195,29698.000000,30061.000000,29280.000000,28924.000000
5.795000,-0.461927,4.420494,-0.000017,1.616766,2.919957,-0.010279,0.000000,1.000000,0.000000,50.231174,39.336233,39.748226,50.682841,32919.000000,25779.000000,26049.000000,33215.000000
5.845000,-0.471214,3.530898,-0.000021,1.931744,1.076134,0.001191,0.000000,1.000000,0.000000,43.436332,48.596933,46.564431,41.400778,28466.000000,31848.000000,30516.000000,27132.000000
5.895000,-0.295798,3.101785,0.000030,0.042373,0.425967,0.003524,0.000000,0.000000,0.000000,42.568093,48.465705,47.434195,41.532006,27897.000000,31762.000000,31086.000000,27218.000000
5.945000,-0.046312,2.650292,0.000134,0.594451,2.791603,-0.001995,0.000000,0.000000,0.000000,49.091325,40.021363,40.904860,49.980926,32172.000000,26228.000000,26807.000000,32755.000000
5.995000,0.137445,1.624096,0.000206,-1.714375,3.785694,0.005024,0.000000,1.000000,0.000000,42.206455,48.755627,47.798886,41.239033,27660.000000,31952.000000,31325.000000,27026.000000
6.044000,-0.387447,1.540327,0.000321,2.295726,2.702955,0.006194,0.000000,1.000000,0.000000,39.102770,46.857404,50.907149,43.132677,25626.000000,30708.000000,33362.000000,28267.000000
6.094000,-0.449176,1.608931,0.000350,-1.681205,-1.451143,-0.001081,0.000000,2.000000,0.000000,40.430304,44.696727,49.567407,45.305562,26496.000000,29292.000000,32484.000000,29691.000000
6.145000,-0.191195,2.185837,0.000348,0.876020,1.693985,-0.001496,0.000000,2.000000,0.000000,47.841611,41.300069,42.157626,48.700694,31353.000000,27066.000000,27628.000000,31916.000000
6.194000,0.035750,2.418383,0.000323,0.842048,-1.449698,0.001378,0.000000,3.000000,0.000000,41.397726,44.719615,48.604562,45.278096,27130.000000,29307.000000,31853.000000,29673.000000
6.246000,0.277799,2.952804,0.000352,1.307544,0.989861,-0.002089,0.000000,3.000000,0.000000,47.113756,46.849775,42.880903,43.155566,30876.000000,30703.000000,28102.000000,28282.000000
6.295000,0.066415,3.221971,0.000398,0.170288,2.730239,0.000074,0.000000,4.000000,0.000000,44.994278,45.249104,45.004959,44.751659,29487.000000,29654.000000,29494.000000,29328.000000
6.345000,-0.044717,3.930055,0.000459,-2.696666,-0.057028,-0.001426,0.000000,4.000000,0.000000,41.081865,44.634165,48.914321,45.368124,26923.000000,29251.000000,32056.000000,29732.000000
6.395000,0.247836,4.472161,0.000364,1.596912,4.760868,0.000461,0.000000,5.000000,0.000000,43.109789,43.137255,46.889448,46.863508,28252.000000,28270.000000,30729.000000,30712.000000
6.446000,0.230584,5.323706,0.000365,-0.195529,2.354480,0.002394,0.000000,5.000000,0.000000,48.415351,43.143359,41.591516,46.848249,31729.000000,28274.000000,27257.000000,30702.000000
6.495000,0.334531,5.740824,0.000299,1.597782,4.121693,0.000164,0.000000,6.000000,0.000000,40.349432,43.265431,49.648280,46.736858,26443.000000,28354.000000,32537.000000,30629.000000
6.546000,0.418440,6.350818,0.000269,-0.141044,4.111253,0.000380,0.000000,6.000000,0.000000,39.017319,48.305486,50.983444,41.692226,25570.000000,31657.000000,33412.000000,27323.000000
6.595000,0.384983,6.914205,0.000219,0.668030,2.780450,-0.000655,0.000000,7.000000,0.000000,44.188602,51.065843,45.809110,38.936446,28959.000000,33466.000000,30021.000000,25517.000000
6.646000,0.185059,7.845086,0.000413,-1.023370,5.437110,-0.001811,0.000000,7.000000,0.000000,43.901732,46.205844,46.095979,43.794919,28771.000000,30281.000000,30209.000000,28701.000000
6.695000,0.299274,8.694585,0.000216,2.055315,5.494274,0.004361,0.000000,8.000000,0.000000,40.810254,44.702831,49.192035,45.294881,26745.000000,29296.000000,32238.000000,29684.000000
6.745000,-0.092252,9.157984,0.000374,-0.196127,5.168014,-0.002943,0.000000,8.000000,0.000000,37.482261,49.074540,52.516976,40.926223,24564.000000,32161.000000,34417.000000,26821.000000
6.795000,-0.125838,9.517767,0.000352,0.939357,4.754844,-0.000166,0.000000,9.000000,0.000000,41.928740,48.760204,48.070497,41.239033,27478.000000,31955.000000,31503.000000,27026.000000
6.845000,0.155748,10.313720,0.000184,0.442941,7.670943,-0.001831,0.000000,9.000000,0.000000,46.392004,44.168765,43.607233,45.833524,30403.000000,28946.000000,28578.000000,30037.000000
6.896000,0.217342,11.118695,0.000205,-1.463083,5.499160,0.000693,0.000000,10.000000,0.000000,43.668269,44.039063,46.330968,45.961700,28618.000000,28861.000000,30363.000000,30121.000000
6.945000,0.219830,11.868412,0.000189,-1.900826,9.632591,0.000996,0.000000,10.000000,0.000000,44.820325,44.234379,45.180438,45.763333,29373.000000,28989.000000,29609.000000,29991.000000
6.995000,0.022457,12.383603,0.000300,-0.556465,8.658662,-0.000907,0.000000,9.000000,0.000000,47.661555,45.169757,42.337682,44.831006,31235.000000,29602.000000,27746.000000,29380.000000
7.045000,0.036306,12.326017,0.000277,1.675072,6.906358,-0.000282,0.000000,9.000000,0.000000,43.610285,45.983062,46.388952,44.017700,28580.000000,30135.000000,30401.000000,28847.000000
